Avengers,Action,Scifi,Drama
Pancharangi,Romance,Drama
Dilwale,Romance,Drama,Music
Avatar,Scifi,Animated,Action,Drama,Romance
Bombat,Drama,Romance,Music
Barfi,Romance,Drama,Comedy
Fury,War,Thriller,Action
Fukrey,Comedy,Romance,Drama
Mungarumale,Romance,Drama,Music
Twilight,Mystery,Romance,Drama
Housefull,Comedy,Romance,Music
Manasaare,Comedy,Romance,Music,Drama
Fightclub,Action,Drama,Scifi
Ranna,Action,Drama,Romance
Neerja,Action,Drama,Romance,Biography
Ready,Action,Comdey,Music
Shivalinga,Action,Drama,Romance
